time,corrected_accel,corrected_disp,corrected_vel
1.005,20.858595337119,-4.9016134647579,-1.9917862205709
1.01,20.753778275123,-4.911312449547,-1.8877552865403
1.015,20.648961213127,-4.9204925898792,-1.7842484378196
1.02,20.544144151132,-4.9291565061811,-1.681265674409
1.025,20.439327089136,-4.9373068188792,-1.5788069963083
1.03,20.334510027141,-4.9449461484001,-1.4768724035176
1.035,20.229692965145,-4.9520771151703,-1.3754618960369
1.04,20.12487590315,-4.9587023396164,-1.2745754738662
1.045,20.020058841154,-4.9648244421649,-1.1742131370054
1.05,19.915241779158,-4.9704460432424,-1.0743748854546
1.055,19.810424717163,-4.9755697632754,-0.97506071921383
1.06,19.705607655167,-4.9801982226905,-0.87627063828301
1.065,19.600790593172,-4.9843340419141,-0.77800464266217
1.07,19.495973531176,-4.987979841373,-0.6802627323513
1.075,19.391156469181,-4.9911382414936,-0.58304490735041
1.08,19.286339407185,-4.9938118627024,-0.4863511676595
1.085,19.181522345189,-4.9960033254261,-0.39018151327857
1.09,19.076705283194,-4.9977152500912,-0.29453594420761
1.095,18.971888221198,-4.9989502571241,-0.19941446044663
1.1,18.867071159203,-4.9997109669515,-0.10481706199563
1.105,18.762254097207,-5,-0.010743748854606
1.11,18.657437035212,-4.999819976696,0.082805478976435
1.115,18.552619973216,-4.9991735174662,0.1758306214975
1.12,18.44780291122,-4.998063242737,0.26833167870859
1.125,18.342985849225,-4.996491772935,0.3603086506097
1.13,18.238168787229,-4.9944617284868,0.45176153720084
1.135,18.133351725234,-4.9919757298189,0.54269033848199
1.14,18.028534663238,-4.9890363973579,0.63309505445317
1.145,17.923717601243,-4.9856463515303,0.72297568511437
1.15,17.818900539247,-4.9818082127627,0.81233223046559
1.155,17.714083477251,-4.9775246014816,0.90116469050683
1.16,17.609266415256,-4.9727981381136,0.9894730652381
1.165,17.50444935326,-4.9676314430852,1.0772573546594
1.17,17.399632291265,-4.9620271368229,1.1645175587707
1.175,17.294815229269,-4.9559878397534,1.251253677572
1.18,17.189998167274,-4.9495161723031,1.3374657110634
1.185,17.085181105278,-4.9426147548987,1.4231536592448
1.19,16.980364043283,-4.9352862079666,1.5083175221162
1.195,16.875546981287,-4.9275331519334,1.5929572996776
1.2,16.770729919291,-4.9193582072258,1.677072991929
1.205,16.665912857296,-4.9107639942701,1.7606645988705
1.21,16.5610957953,-4.901753133493,1.843732120502
1.215,16.456278733305,-4.892328245321,1.9262755568235
1.22,16.351461671309,-4.8824919501807,2.008294907835
1.225,16.246644609314,-4.8722468684986,2.0897901735366
1.23,16.141827547318,-4.8615956207012,2.1707613539282
1.235,16.037010485322,-4.8505408272152,2.2512084490098
1.24,15.932193423327,-4.8390851084671,2.3311314587814
1.245,15.827376361331,-4.8272310848833,2.410530383243
1.25,15.722559299336,-4.8149813768906,2.4894052223947
1.255,15.61774223734,-4.8023386049153,2.5677559762364
1.26,15.512925175345,-4.7893053893841,2.6455826447681
1.265,15.408108113349,-4.7758843507236,2.7228852279898
1.27,15.303291051353,-4.7620781093602,2.7996637259016
1.275,15.198473989358,-4.7478892857205,2.8759181385034
1.28,15.093656927362,-4.7333205002311,2.9516484657952
1.285,14.988839865367,-4.7183743733185,3.026854707777
1.29,14.884022803371,-4.7030535254092,3.1015368644488
1.295,14.779205741376,-4.6873605769299,3.1756949358107
1.3,14.67438867938,-4.6712981483071,3.2493289218626
1.305,14.569571617384,-4.6548688599672,3.3224388226045
1.31,14.464754555389,-4.6380753323369,3.3950246380364
1.315,14.359937493393,-4.6209201858428,3.4670863681584
1.32,14.255120431398,-4.6034060409113,3.5386240129703
1.325,14.150303369402,-4.585535517969,3.6096375724723
1.33,14.045486307407,-4.5673112374425,3.6801270466644
1.335,13.940669245411,-4.5487358197583,3.7500924355464
1.34,13.835852183415,-4.529811885343,3.8195337391185
1.345,13.73103512142,-4.510542054623,3.8884509573806
1.35,13.626218059424,-4.4909289480251,3.9568440903327
1.355,13.521400997429,-4.4709751859756,4.0247131379748
1.36,13.416583935433,-4.4506833889013,4.092058100307
1.365,13.311766873438,-4.4300561772285,4.1588789773291
1.37,13.206949811442,-4.4090961713839,4.2251757690413
1.375,13.102132749447,-4.387805991794,4.2909484754435
1.38,12.997315687451,-4.3661882588854,4.3561970965358
1.385,12.892498625455,-4.3442455930846,4.4209216323181
1.39,12.78768156346,-4.3219806148182,4.4851220827903
1.395,12.682864501464,-4.2993959445126,4.5487984479526
1.4,12.578047439469,-4.2764942025946,4.611950727805
1.405,12.473230377473,-4.2532780094905,4.6745789223473
1.41,12.368413315478,-4.229749985627,4.7366830315797
1.415,12.263596253482,-4.2059127514306,4.7982630555021
1.42,12.158779191486,-4.1817689273279,4.8593189941145
1.425,12.053962129491,-4.1573211337454,4.919850847417
1.43,11.949145067495,-4.1325719911097,4.9798586154094
1.435,11.8443280055,-4.1075241198473,5.0393422980919
1.44,11.739510943504,-4.0821801403847,5.0983018954644
1.445,11.634693881509,-4.0565426731485,5.1567374075269
1.45,11.529876819513,-4.0306143385654,5.2146488342795
1.455,11.425059757517,-4.0043977570617,5.2720361757221
1.46,11.320242695522,-3.9778955490641,5.3288994318547
