time,acceleration,velocity,displacement
2.10500,-0.00001,0.00491,0.00597
2.11000,-0.00002,0.00486,0.00600
2.11500,-0.00001,0.00479,0.00602
2.12000,0.00002,0.00482,0.00605
2.12500,0.00001,0.00488,0.00607
2.13000,0.00000,0.00489,0.00609
2.13500,-0.00002,0.00482,0.00612
2.14000,-0.00001,0.00474,0.00614
2.14500,-0.00001,0.00469,0.00617
2.15000,-0.00003,0.00459,0.00619
2.15500,-0.00003,0.00446,0.00621
2.16000,-0.00003,0.00432,0.00623
2.16500,-0.00001,0.00422,0.00625
2.17000,-0.00001,0.00416,0.00628
2.17500,-0.00002,0.00409,0.00630
2.18000,0.00000,0.00405,0.00632
2.18500,-0.00001,0.00403,0.00634
2.19000,0.00000,0.00401,0.00636
2.19500,0.00001,0.00402,0.00638
2.20000,0.00000,0.00405,0.00640
2.20500,0.00001,0.00410,0.00642
2.21000,0.00000,0.00413,0.00644
2.21500,0.00001,0.00414,0.00646
2.22000,0.00000,0.00415,0.00648
2.22500,-0.00001,0.00412,0.00650
2.23000,0.00001,0.00412,0.00652
2.23500,-0.00003,0.00407,0.00654
2.24000,-0.00003,0.00394,0.00656
2.24500,-0.00002,0.00381,0.00658
2.25000,-0.00002,0.00370,0.00660
2.25500,-0.00001,0.00362,0.00662
2.26000,-0.00001,0.00356,0.00664
2.26500,0.00001,0.00355,0.00665
2.27000,0.00001,0.00361,0.00667
2.27500,0.00003,0.00370,0.00669
2.28000,0.00003,0.00383,0.00671
2.28500,0.00001,0.00392,0.00673
2.29000,0.00001,0.00395,0.00675
2.29500,0.00002,0.00400,0.00677
2.30000,0.00003,0.00411,0.00679
2.30500,0.00002,0.00422,0.00681
2.31000,0.00001,0.00430,0.00683
2.31500,0.00000,0.00432,0.00685
2.32000,0.00001,0.00434,0.00687
2.32500,0.00001,0.00441,0.00690
2.33000,-0.00001,0.00441,0.00692
2.33500,0.00000,0.00438,0.00694
2.34000,0.00001,0.00441,0.00696
2.34500,0.00003,0.00450,0.00698
2.35000,0.00002,0.00461,0.00701
2.35500,0.00001,0.00469,0.00703
2.36000,0.00003,0.00479,0.00705
2.36500,0.00004,0.00497,0.00708
2.37000,0.00005,0.00520,0.00710
2.37500,0.00005,0.00547,0.00713
2.38000,0.00005,0.00574,0.00716
2.38500,0.00006,0.00603,0.00719
2.39000,0.00005,0.00632,0.00722
2.39500,0.00005,0.00658,0.00725
2.40000,0.00003,0.00677,0.00728
2.40500,0.00002,0.00689,0.00732
2.41000,0.00002,0.00699,0.00735
2.41500,0.00001,0.00706,0.00739
2.42000,-0.00001,0.00705,0.00742
2.42500,-0.00001,0.00700,0.00746
2.43000,-0.00001,0.00696,0.00749
2.43500,0.00000,0.00694,0.00753
2.44000,-0.00001,0.00692,0.00756
2.44500,-0.00002,0.00685,0.00760
2.45000,-0.00002,0.00676,0.00763
2.45500,-0.00002,0.00668,0.00766
2.46000,-0.00002,0.00659,0.00770
2.46500,-0.00003,0.00645,0.00773
2.47000,-0.00003,0.00629,0.00776
2.47500,-0.00001,0.00618,0.00779
2.48000,-0.00003,0.00609,0.00782
2.48500,-0.00003,0.00594,0.00785
2.49000,-0.00001,0.00585,0.00788
