time,ground_displacement,relative_displacement,roof_displacement
-0.71000000000006,271.59627573183,-27.448425228971,299.0447009608
-0.70000000000006,272.75253033332,-27.682303226894,300.43483356021
-0.69000000000006,273.86255824853,-27.436787386286,301.29934563482
-0.68000000000006,274.91874958961,-26.724747905498,301.64349749511
-0.67000000000006,275.91434350365,-25.56835712058,301.48270062423
-0.66000000000006,276.84353479535,-23.998194101415,300.84172889676
-0.65000000000006,277.70156547843,-22.051302181197,299.75286765963
-0.64000000000006,278.48479981193,-19.769281757728,298.25408156966
-0.63000000000006,279.19078163801,-17.19670929176,296.38749092977
-0.62000000000006,279.81827311698,-14.380141270809,294.19841438779
-0.61000000000006,280.36727424887,-11.368134379686,291.73540862855
-0.60000000000006,280.83902287332,-8.2118170370076,289.05083991033
-0.59000000000006,281.23597514819,-4.9653821679145,286.20135731611
-0.58000000000006,281.56176681445,-1.6859360264152,283.24770284087
-0.57000000000006,281.82115585837,1.5677138909631,280.2534419674
-0.56000000000006,282.01994747524,4.7370797496205,277.28286772562
-0.55000000000006,282.16490251798,7.7662292665004,274.39867325148
-0.54000000000006,282.26363087445,10.603490304539,271.66014056991
-0.53000000000006,282.32447145496,13.202535052677,269.12193640228
-0.52000000000006,282.35636068267,15.5228859495,266.83347473317
-0.51000000000006,282.36869156088,17.529664168651,264.83902739223
-0.50000000000006,282.37116553974,19.193470871051,263.17769466869
-0.49000000000006,282.37363951861,20.491156619342,261.88248289927
-0.48000000000006,282.38597039682,21.406901266302,260.97906913052
-0.47000000000006,282.41785962453,21.932975093801,260.48488453073
-0.46000000000006,282.47870020503,22.07038829605,260.40831190899
-0.45000000000006,282.5774285615,21.828815009146,260.74861355236
-0.44000000000006,282.72238360425,21.225041148122,261.49734245613
-0.43000000000006,282.92117522112,20.28102774003,262.64014748109
-0.42000000000006,283.18056426503,19.02236718739,264.15819707764
-0.41000000000006,283.50635593129,17.477033570582,266.02932236071
-0.40000000000006,283.90330820616,15.675221327354,268.22808687881
-0.39000000000006,284.37505683061,13.650162101788,270.72489472883
-0.38000000000006,284.9240579625,11.438695352442,273.48536261005
-0.37000000000006,285.55154944147,9.0815025373914,276.47004690408
-0.36000000000006,286.25753126754,6.622921970948,279.6346092966
-0.35000000000006,287.04076560105,4.1093642774162,282.93140132363
-0.34000000000006,287.89879628413,1.5871550028275,286.3116412813
-0.33000000000006,288.82798757582,-0.89860990825355,289.72659748408
-0.32000000000006,289.82358148986,-3.3050283700398,293.1286098599
-0.31000000000006,290.87977283094,-5.5921540105933,296.47192684154
-0.30000000000006,291.98980074615,-7.7227716735408,299.71257241969
-0.29000000000006,293.14605534764,-9.662266120269,302.80832146791
-0.28000000000006,294.34019772509,-11.379536466984,305.71973419207
-0.27000000000006,295.56329145533,-12.848302539185,308.41159399452
-0.26000000000006,296.80594353508,-14.048435138429,310.85437867351
-0.25000000000006,298.05845251416,-14.967349738726,313.02580225289
-0.24000000000006,299.31096149325,-15.600131630177,314.91109312343
-0.23000000000006,300.55361357299,-15.948598024804,316.5022115978
-0.22000000000006,301.77670730324,-16.0200642858,317.79677158904
-0.21000000000006,302.97084968069,-15.825467832602,318.79631751329
-0.20000000000006,304.12710428218,-15.377726795645,319.50483107782
